sequence,scored_run_id,scored_status,scored_manifest_sha256,state_sha256,deviation_sha256,tum_sha256,capture_run_id,capture_status,capture_manifest_sha256,raw_geometry_bag_bytes,raw_geometry_bag_sha256,geometry_status,geometry_manifest_sha256,literal_final_slam_points
rotation/rotation.bag,C2-rotation-final-r2,COMPLETED,684df13071a14229af0f7446c795157e8faba7a5cc724c5efcc850f1bd81744b,fbd7202f4e06927224f4b332f53672cbc47c1baa227af0124bd47354dd419cd3,52fb057315aa6150165244f07623c2dcfc6e34afe21875e77045c5b8356cebb8,65da602d676a792519e64726e3af809ab6d16dbd8a0df0b2696f29237178a571,C2-rotation-capture-r1,COMPLETED,86a1f9b357a2685678dfbf7b1e7ba8e2e49d2f5fb23a130cb653462062ba461c,15064703,cb6cbcc4489a65b8fdbd673e8a8285ec3e008bfb49bf681d12e6ffad015126d3,COMPLETE,e1c1f7a966a830ba68731152271aa2ee449a1d90b544ba893fb5a4c32e680bb4,23
rotation/rotation_fast.bag,C2-rotation-fast-regression-r1,COMPLETED,e589135f6eb254ef18bcaaab0d9c5b1aab46496109e0e258459c4507fe43e27e,4da89a22a63259311ecfc0b3f8706628d91798919bea25d6175710ec8e5f873b,f8a3e74f2706f37af4908c3a699bf29254fdeedc2f4c8aaaed0fe50ddea4e2cb,6fb4f7b4bbafa3e3d40479ce49e5a406c8b122199012a1ee0c50f7e64f1ff34c,C2-rotation_fast-capture-r1,COMPLETED,6571c406fa4557375b5a3b6ca600c1f1398b29ed689f5978c5a9d7e042480f07,13916171,8c6699debcc2c8e7eeb410c69a7d2799e6820475e8bce981b87f9c99cd0ce3b8,COMPLETE,560138936b6eb32068b25e0425d26d05cc8296f004e6cd4b9af526ceac9b0131,49
circle/circle.bag,C2-circle-regression-r1,COMPLETED,e09a90d85782bdcdd176b1cb5523adb3b36d0967b6e59472b21820f93c6724c2,1bcb86681598e6a0f76020fb196635e8020e51bfb6624bb3bca6df0bc967f509,76569fe8cc0bd0595b05091228cd9f8e56c7cbe84379f09ce19a4840cbb2b4bb,971b0f9fe1c59301a6eb0e9a3d206df146837cd7951c1e33f7cada189a0b2c42,C2-circle-capture-r1,COMPLETED,24aedd8a50d4ddb3fd4668343e677e0a09d5bde966a59bc97f5c3c6ee429a126,14474731,472b2f883fa8bb89de16cfafd47018204aa1b0d068ecbaa66bc8c4d9c45cacff,COMPLETE,bdd07a8e09074bce5f3f0afbf9bb708264def951d1b02fb3d6a5e6c1e3d67454,47
circle/circle_fast.bag,C2-circle_fast-regression-r1,COMPLETED,873d8e6299786bb478c394edf862b37e9ff671b54b94df653b428f1bb325d63f,b2385a688bbd53f1dc3001147c0c0a8e3486005bb8e9450fd9aef8ec1e613aa9,de3a5e0b27944ebe8764f15c478a81e4a859f928e21401ed6449546c5536f391,407e7892ea66dce46741f9f9e493538d1a804b62cf554bd6f97d438a09f694f3,C2-circle_fast-capture-r1,COMPLETED,71fd58d204d542ed3a245bc89ae616c8bd99bac0685894d347af353c36e668df,15037991,a775ed5126eccfeeafe15ffd914240f86436de976cb94f2d134995ca9798ea78,COMPLETE,b4851293fdf93faa23f8b5555283ab1930fca97b3a4fecc2d600c3355fa67e64,50
circle/circle_head.bag,C2-circle_head-regression-r1,COMPLETED,c4d070a550bd3c09e82b79720d3f57dc314d64779ac83f17eb72a3bd89062627,dbda25e411f5773c746cd11870a1d453f3059666667401076cf2c8cf8a6f2631,dab2ad7b572faecde35b39e2956c45f793a394ae4a99fcc8a67d11272d6b230d,a1f0232476baf9ccb3ed2d5d42975c90829493d8acade991787a79bf2f398617,C2-circle_head-capture-r1,COMPLETED,062836075a41b34b1a411f5e011f25c05d11067d9bb32a6b8c26dd69f082b69c,17412755,62803e10f604894e7913ee0b895d446bc6fdc0e23ce170b92ede1c3bd15a7fb1,COMPLETE,398174197db0ceb2d159aa0bef81076a53a97faae13fff2d909a867580cde254,49
infinite/infinite.bag,C2-infinite-regression-r1,COMPLETED,0a978eccb3475665f59b94a467eef7ff553b75124f94b38c24cdafe9233741c7,16318884a7a2eab9e3ee6ba73b53f49311cdea7325155b50312e071aca314fb9,dc488832971f0d1da127b5014d3271f9605e5473269ee7762f48ac7ae12fe57d,793aa7e4fd61cd1f88eff764afed9382814af90c121fa59ff0cfc93917aa1e13,C2-infinite-capture-r1,COMPLETED,bf999661fb6c0d95307be4f8e5fedcd4ebad5ff579914155d61d08d931e6c9d2,19697463,a72c4e763974b4244845eb6e04e35eb4874de68bce25c75916560b2fd684e4ba,COMPLETE,7f2350df7d01cf02e65c14dae0b3a9c655ecb982b662a99afda3f78f9cf28289,49
infinite/infinite_fast.bag,C2-infinite_fast-regression-r1,COMPLETED,b8716b769bbd1f2bff4e9a3245affcc7e25017e6b5fe63cb8742d14346593d9a,b245a87c6e799cbdb61afdf11dcbb43bcf40bff41c91c10ddb619f531cbb8c9f,cb4ec1d112198008bcfab1763c26c4930ffcb1ce26bbe163cdeeff083e4cac68,353e49beaf9cba0ce0642722c16a69760217531d064edd8b8865b0552be55581,C2-infinite_fast-capture-r1,COMPLETED,641d101316e3adce2d7c340483a7880ccc32f5a775fcbcf79b196543b49b1b82,26960595,cec675d681fef5ae59d2946219509ac1f72d65e92682d5c9b4c4f7d8bcf6577d,COMPLETE,7c88ec6ac81c5acd4f54a3ec11a1c0f95b9ca30ff50146448dfcd9dd9a949047,38
infinite/infinite_head.bag,C2-infinite_head-regression-r1,COMPLETED,2ccc7bdc8f3a6ac6310100f6aadf70849d392544d69ee9738412738ea725f83e,805370360254900228318494f059b7805e850a207ca6f281424fe21788e212a9,e202ffd16f302c05668ee19ac9c8a37b86d70c2007c0c5a68cf9e625cba138c4,bff36e2535f856ef8674a33d44717ed117a5926688ba76d79584197e69e02e10,C2-infinite_head-capture-r1,COMPLETED,25f55b3ea37cdf7e5cbbc83a5ae5ebcd04c782434e918f92290383b92628c27c,14060927,93fd62fe01a79a45d8e43edd321705dd0652c405042d3f0ed22480b38e9209f0,COMPLETE,1cb4bd568e3769ba3989f8a0fe15530ef25f0cee68e0bbe3256e804a669e2315,50
square/square.bag,C2-square-regression-r1,COMPLETED,7ce290cb5d3a4c12a571ca3647eab4fb166d8487df76a61f0e542775cdc4d402,f8fb1b2776915fedb07d7f6db79619ad60991e2a459ad677e260468857b37e90,e7ed53934d77737d7a9d821d61192ab0da72dee254063bcceac0bf25341e0823,0c521fb749fa1f1448d07000ddc9c65cfef9de99e356597fededc4c4cbcf4230,C2-square-capture-r1,COMPLETED,b9ff7a3d438a008385d8bb187b23328f1cdc7b746c77263d98a7066f091b6b2f,19904267,ccd71fd011579904f44ab162e3ab7f928cfb0da67a1bc7eb5c3903af31e9689e,COMPLETE,cfc186aa4d4928e87d9413fdea9540ce6312e44b4e7fc13374fd0d32126a6027,46
square/square_fast.bag,C2-square_fast-regression-r1,COMPLETED,6ff0b960e5691ca34013c96f24310906413fbdde1f6ffe869ff86282139b9864,7ef683d0f8173f1deeb84124a907bb557af49021dd9da5b138f1166d7c636b41,0ee7b6726c5bcaf41446fa756efb04f9e70076de53d8a95f7f68049707937658,fdad01cd0cecdda58ae142bef60092dedd83a571d755f075d5cd54c79fefdd20,C2-square_fast-capture-r1,COMPLETED,67d5346e6235df4aaca6c6ded967b179eede5f01071a789a34ec05f20bdfe765,12946547,3b234e6dc4c30f5848332c009c2576144b291247ad634b10326a08ae555d63dd,COMPLETE,b29ad45b19ffd2775a6828b72524e72663c14e41fbb1e2b429e3e246050e1064,49
